Results
algorithm = MergeSort3Way, size = 6, seed = 1, time = 2567 ms
algorithm = MergeSort3Way, size = 6, seed = 2, time = 2647 ms
algorithm = MergeSort3Way, size = 6, seed = 3, time = 2525 ms
algorithm = MergeSort3Way, size = 6, seed = 4, time = 2495 ms
algorithm = MergeSort3Way, size = 6, seed = 5, time = 2542 ms
algorithm = MergeSort3Way, size = 6, seed = 6, time = 2566 ms
algorithm = MergeSort3Way, size = 6, seed = 7, time = 2549 ms
algorithm = MergeSort3Way, size = 6, seed = 8, time = 2494 ms
algorithm = MergeSort3Way, size = 6, seed = 9, time = 2561 ms
algorithm = MergeSort3Way, size = 7, seed = 0, time = 2626 ms
algorithm = MergeSort3Way, size = 7, seed = 1, time = 2523 ms
algorithm = MergeSort3Way, size = 7, seed = 2, time = 2529 ms
algorithm = MergeSort3Way, size = 7, seed = 3, time = 2811 ms
algorithm = MergeSort3Way, size = 7, seed = 4, time = 2565 ms
algorithm = MergeSort3Way, size = 7, seed = 5, time = 2452 ms
algorithm = MergeSort3Way, size = 7, seed = 6, time = 2508 ms
algorithm = MergeSort3Way, size = 7, seed = 7, time = 2524 ms
algorithm = MergeSort3Way, size = 7, seed = 8, time = 2555 ms
algorithm = MergeSort3Way, size = 7, seed = 9, time = 2503 ms
algorithm = BottomUpMergesort, size = 0, seed = 0, time = 572 ms
algorithm = BottomUpMergesort, size = 0, seed = 1, time = 561 ms
algorithm = BottomUpMergesort, size = 0, seed = 2, time = 594 ms
algorithm = BottomUpMergesort, size = 0, seed = 3, time = 601 ms
algorithm = BottomUpMergesort, size = 0, seed = 4, time = 589 ms
algorithm = BottomUpMergesort, size = 0, seed = 5, time = 585 ms
algorithm = BottomUpMergesort, size = 0, seed = 6, time = 600 ms
algorithm = BottomUpMergesort, size = 0, seed = 7, time = 586 ms
algorithm = BottomUpMergesort, size = 0, seed = 8, time = 586 ms
algorithm = BottomUpMergesort, size = 0, seed = 9, time = 601 ms
algorithm = BottomUpMergesort, size = 1, seed = 0, time = 1245 ms
algorithm = BottomUpMergesort, size = 1, seed = 1, time = 1252 ms
algorithm = BottomUpMergesort, size = 1, seed = 2, time = 1225 ms
algorithm = BottomUpMergesort, size = 1, seed = 3, time = 1256 ms
algorithm = BottomUpMergesort, size = 1, seed = 4, time = 1237 ms
algorithm = BottomUpMergesort, size = 1, seed = 5, time = 1234 ms
algorithm = BottomUpMergesort, size = 1, seed = 6, time = 1232 ms
algorithm = BottomUpMergesort, size = 1, seed = 7, time = 1262 ms
algorithm = BottomUpMergesort, size = 1, seed = 8, time = 1292 ms
algorithm = BottomUpMergesort, size = 1, seed = 9, time = 1214 ms
algorithm = BottomUpMergesort, size = 2, seed = 0, time = 2650 ms
algorithm = BottomUpMergesort, size = 2, seed = 1, time = 2582 ms
algorithm = BottomUpMergesort, size = 2, seed = 2, time = 2575 ms
algorithm = BottomUpMergesort, size = 2, seed = 3, time = 2581 ms
algorithm = BottomUpMergesort, size = 2, seed = 4, time = 2603 ms
algorithm = BottomUpMergesort, size = 2, seed = 5, time = 2556 ms
algorithm = BottomUpMergesort, size = 2, seed = 6, time = 2652 ms
algorithm = BottomUpMergesort, size = 2, seed = 7, time = 2767 ms
algorithm = BottomUpMergesort, size = 2, seed = 8, time = 2603 ms
algorithm = BottomUpMergesort, size = 2, seed = 9, time = 2641 ms
algorithm = BottomUpMergesort, size = 3, seed = 0, time = 5579 ms
algorithm = BottomUpMergesort, size = 3, seed = 1, time = 5621 ms
algorithm = BottomUpMergesort, size = 3, seed = 2, time = 5534 ms
algorithm = BottomUpMergesort, size = 3, seed = 3, time = 5629 ms
